city,state,zip,members,latitude,longitude
Mount Airy,NC,27030,105,36.49376,-80.62336
Maxton,NC,28364,73,34.735024,-79.32836
Lenoir,NC,28645,71,35.934783,-81.54476
Reidsville,NC,27320,61,36.345919,-79.67075
Elkin,NC,28621,55,36.283497,-80.84586
Galax,VA,24333,52,36.649548,-80.92683
Jackson,OH,45640,52,39.034226,-82.63678
Asheboro,NC,27205,51,35.665973,-79.832161
Middletown,OH,45044,51,39.482957,-84.38393
Dobson,NC,27017,49,36.367258,-80.72296
Clanton,AL,35045,46,32.834501,-86.64355
Warminster,PA,18974,44,40.211241,-75.0887
Roxboro,NC,27574,43,36.416628,-78.970224
North Wilkesboro,NC,28659,43,36.169604,-81.11615
Zanesville,OH,43701,43,39.949377,-82.00492
Concord,NC,28025,39,35.400407,-80.56574
Lancaster,NH,3584,38,44.483756,-71.54999
Newark,OH,43055,38,40.079115,-82.40054
Bucyrus,OH,44820,38,40.815179,-82.97091
Laurel,DE,19956,37,38.549721,-75.55304
Pilot Mountain,NC,27041,37,36.398995,-80.48006
Kannapolis,NC,28083,36,35.492989,-80.60293
Waycross,GA,31503,36,31.205194,-82.37534
Yadkinville,NC,27055,35,36.12301,-80.64557
Lincolnton,NC,28092,35,35.473447,-81.24094
State Road,NC,28676,35,36.326001,-80.86182
Marion,NC,28752,35,35.709124,-82.01719
Meadow Bridge,WV,25976,34,37.854735,-80.84199
Niles,MI,49120,34,41.828055,-86.23981
Mooresville,NC,28115,33,35.584157,-80.80258
Franklin,NC,28734,33,35.185018,-83.39032
Statesville,NC,28625,32,35.840579,-80.87988
Ronda,NC,28670,32,36.204458,-80.93481
Taylorsville,NC,28681,32,35.914275,-81.2083
Irving,TX,75060,32,32.80268,-96.95499
Elkton,MD,21921,31,39.626736,-75.84294
Trinity,NC,27370,31,35.843856,-79.9849
Horsham,PA,19044,30,40.184758,-75.14386
Lansdale,PA,19446,30,40.237206,-75.29156
Lexington,NC,27292,30,35.775789,-80.23174
Albemarle,NC,28001,30,35.351477,-80.19879
Groveton,NH,3582,29,44.610605,-71.48147
Hays,NC,28635,29,36.315077,-81.13146
Ville Platte,LA,70586,29,30.710639,-92.30628
Winston Salem,NC,27107,28,36.046215,-80.18998
China Grove,NC,28023,28,35.567189,-80.59116
Salisbury,NC,28146,28,35.614422,-80.43115
Canton,NC,28716,28,35.503301,-82.85103
Spruce Pine,NC,28777,28,35.910932,-82.07366
Meridian,MS,39301,28,32.339004,-88.6596
Coshocton,OH,43812,28,40.270198,-81.86761
Harrington,DE,19952,27,38.916908,-75.61343
Chalfont,PA,18914,27,40.282406,-75.20657
Felton,DE,19943,26,39.011387,-75.58978
Torrington,CT,6790,26,41.820274,-73.11787
Woodbridge,VA,22191,26,38.63275,-77.26786
Wayne,WV,25570,26,38.225065,-82.43909
Madison,NC,27025,26,36.383107,-79.97451
Dallas,NC,28034,26,35.333668,-81.18303
Gastonia,NC,28052,26,35.248787,-81.2142
Monroe,NC,28110,26,35.031947,-80.56002
Salisbury,NC,28147,26,35.665362,-80.54673
Thomaston,GA,30286,26,32.895794,-84.33084
Trenton,FL,32693,26,29.598935,-82.82752
La Porte,IN,46350,26,41.605749,-86.71983
Sanford,NC,27330,25,35.458804,-79.16415
Sanford,NC,27332,25,35.401023,-79.14419
Live Oak,FL,32060,25,30.285127,-83.04106
Chillicothe,OH,45601,25,39.33046,-82.97228
Willow Grove,PA,19090,24,40.145859,-75.1216
Hyattsville,MD,20783,24,38.98941,-76.97294
Princeton,WV,24740,24,37.368167,-81.07307
Kenna,WV,25248,24,38.631892,-81.62048
Boonville,NC,27011,24,36.218385,-80.70955
Whiteville,NC,28472,24,34.312063,-78.70773
Weaverville,NC,28787,24,35.723848,-82.54285
Sylacauga,AL,35150,24,33.185782,-86.25105
Wellston,OH,45692,24,39.117212,-82.54811
Dowagiac,MI,49047,24,42.004729,-86.1208
Dover,DE,19901,23,39.16426,-75.51163
Greensboro,NC,27405,23,36.107499,-79.75242
Rutherfordton,NC,28139,23,35.361333,-81.98377
Shelby,NC,28150,23,35.315118,-81.55584
Jonesville,NC,28642,23,36.227576,-80.82988
York,SC,29745,23,35.005981,-81.21176
Seaford,DE,19973,22,38.643248,-75.61102
Glenside,PA,19038,22,40.10346,-75.16829
Woodbridge,VA,22193,22,38.646375,-77.34469
Alderson,WV,24910,22,37.731717,-80.65942
Mocksville,NC,27028,22,35.920477,-80.57143
Pinnacle,NC,27043,22,36.331502,-80.4417
Lexington,NC,27295,22,35.856896,-80.28961
Thomasville,NC,27360,22,35.871,-80.08603
Concord,NC,28027,22,35.405636,-80.63823
Mount Holly,NC,28120,22,35.311862,-81.02441
Rockwell,NC,28138,22,35.536561,-80.42959
Granite Falls,NC,28630,22,35.811919,-81.43478
Lake City,FL,32024,22,30.108128,-82.72529
Bridgeville,DE,19933,21,38.73635,-75.60807
Hatboro,PA,19040,21,40.178076,-75.1067
Georgetown,DE,19947,21,38.676552,-75.39269
Millsboro,DE,19966,21,38.601355,-75.2411
Suitland,MD,20746,21,38.839663,-76.91478
Bassett,VA,24055,21,36.757893,-80.00161
Saltville,VA,24370,21,36.893445,-81.74825
Kannapolis,NC,28081,21,35.499521,-80.64447
Maiden,NC,28650,21,35.575785,-81.18843
Statesville,NC,28677,21,35.765719,-80.8981
Blackshear,GA,31516,21,31.307234,-82.25779
Owenton,KY,40359,21,38.467809,-84.81023
Ashland,OH,44805,21,40.867016,-82.31514
Houston,TX,77045,21,29.629111,-95.43841
Dover,DE,19904,20,39.161639,-75.5587
Lincoln,DE,19960,20,38.855872,-75.39889
Beltsville,MD,20705,20,39.044509,-76.9133
Marion,VA,24354,20,36.828526,-81.53045
King,NC,27021,20,36.293122,-80.3546
Gastonia,NC,28056,20,35.229565,-81.12847
Morganton,NC,28655,20,35.742752,-81.71625
Nebo,NC,28761,20,35.666254,-81.90629
Chesnee,SC,29323,20,35.131971,-81.88553
Shelbyville,KY,40065,20,38.211511,-85.21658
Galion,OH,44833,20,40.720869,-82.797
Michigan City,IN,46360,20,41.707539,-86.87902
Wewoka,OK,74884,20,35.166644,-96.5066
Madisonville,TX,77864,20,30.956147,-95.91606
Glen Burnie,MD,21061,19,39.164158,-76.6306
Weare,NH,3281,19,43.080986,-71.72329
Southampton,PA,18966,19,40.184745,-75.00831
Reading,PA,19604,19,40.355092,-75.91205
Ararat,NC,27007,19,36.390363,-80.58746
Cleveland,NC,27013,19,35.73956,-80.69407
Browns Summit,NC,27214,19,36.205771,-79.69839
Eden,NC,27288,19,36.505996,-79.74935
Mooresboro,NC,28114,19,35.243585,-81.75656
Oakboro,NC,28129,19,35.232542,-80.33123
Shelby,NC,28152,19,35.258879,-81.57867
Charlotte,NC,28215,19,35.244468,-80.72164
Jacksonville,FL,32218,19,30.449096,-81.65651
Verbena,AL,36091,19,32.759543,-86.51111
Roseville,OH,43777,19,39.814025,-82.07808
Muncie,IN,47302,19,40.164393,-85.38114
Reed City,MI,49677,19,43.906666,-85.5155
Hillsboro,NH,3244,18,43.119417,-71.92108
Augusta,ME,4330,18,44.344406,-69.76345
Ambler,PA,19002,18,40.169608,-75.21158
Hyattsville,MD,20784,18,38.950528,-76.8888
Pasadena,MD,21122,18,39.125776,-76.51863
Front Royal,VA,22630,18,38.926615,-78.17499
Moundsville,WV,26041,18,39.912923,-80.73701
Forest City,NC,28043,18,35.317602,-81.86722
Pembroke,NC,28372,18,34.69004,-79.18802
Inman,SC,29349,18,35.061431,-82.07523
Lancaster,SC,29720,18,34.729073,-80.76005
Deland,FL,32724,18,29.039757,-81.27927
Bartow,FL,33830,18,27.894991,-81.82638
Jackson,KY,41339,18,37.533559,-83.34547
Massillon,OH,44647,18,40.793924,-81.55252
Minerva,OH,44657,18,40.733459,-81.09148
Alma,MI,48801,18,43.377113,-84.66256
Newberry,MI,49868,18,46.434201,-85.54758
Streamwood,IL,60107,18,42.023977,-88.17657
Irving,TX,75061,18,32.826729,-96.9614
Pottstown,PA,19464,17,40.253496,-75.63481
Enfield,CT,6082,17,41.987238,-72.56365
Huntingdon Valley,PA,19006,17,40.129509,-75.06115
Clintwood,VA,24228,17,37.153509,-82.44936
Point Pleasant,WV,25550,17,38.87018,-82.10751
Hamptonville,NC,27020,17,36.115196,-80.81872
Burlington,NC,27215,17,36.072336,-79.4698
