city,state,zip,members,latitude,longitude
Burlington,Vermont,05401,4,44.47484,-73.21758
Winooski,Vermont,05404,2,44.49483,-73.18467
Burlington,Vermont,05408,1,44.48969,-73.27139
Alburgh,Vermont,05440,11,44.95214,-73.2848
Cambridge,Vermont,05444,3,44.62628,-72.88242
Colchester,Vermont,05446,1,44.5541,-73.21647
East Berkshire,Vermont,05447,6,44.93615,-72.70447
East Fairfield,Vermont,05448,9,44.75374,-72.8872
Enosburg Falls,Vermont,05450,48,44.89075,-72.79074
Essex Junction,Vermont,05452,14,44.5238,-73.06479
Fairfax,Vermont,05454,18,44.7056,-73.02294
Fairfield,Vermont,05455,5,44.80352,-72.96568
Franklin,Vermont,05457,23,44.97294,-72.91832
Grand Isle,Vermont,05458,1,44.71838,-73.29837
Highgate Center,Vermont,05459,10,44.95568,-73.01861
Jeffersonville,Vermont,05464,5,44.65469,-72.81897
Milton,Vermont,05468,17,44.65378,-73.15343
Montgomery Center,Vermont,05471,7,44.85739,-72.58942
North Hero,Vermont,05474,3,44.83445,-73.26687
Richford,Vermont,05476,84,44.96055,-72.6457
Richmond,Vermont,05477,1,44.3936,-72.99152
Saint Albans,Vermont,05478,58,44.7941,-73.11714
Sheldon,Vermont,05483,7,44.88322,-72.98484
South Hero,Vermont,05486,4,44.62958,-73.31444
Swanton,Vermont,05488,35,44.92214,-73.14286
Underhill,Vermont,05489,4,44.5458,-72.89471
Westford,Vermont,05494,2,44.60472,-73.01523
Williston,Vermont,05495,6,44.42901,-73.09197
East Calais,Vermont,05650,1,44.4002,-72.44235
West Burke,Vermont,05871,2,44.68367,-71.95193
Westfield,Vermont,05874,4,44.87546,-72.46172
Dripping Springs,Texas,78620,1,30.22214,-98.13491
