id,name,zip,latitude,longitude,pa
16931,21st Century Radiology and Imaging,11214,40.6001709,-73.9960711,Blank
28593,3t Imaging Of Morton Grove,60053,42.0446532,-87.8004628,Blank
25731,83 Wellness Way,42025,36.925927,-88.3462378,Blank
703,A,75390,32.8129924,-96.8402794,Blank
17283,"A. Clark Gunnerson, DO",84790,37.097181,-113.5537478,Blank
22920,AAMG Orthopedic and Sports Medicine Center,21122,39.1263615,-76.5867373,Blank
22978,AAMG Physical Therapy,21409,39.039329,-76.4393212,Blank
5206,"Aaron D. Potts, M.D.",49444,43.2078477,-86.210189,Orthopedics
19225,"Aaron Eubanks, MD",75150,32.8012841,-96.6100907,Blank
19226,"Aaron Eubanks, MD",75150,32.8012841,-96.6100907,Blank
16784,"Aaron F. Guercio, MD",83318,42.5349611,-113.7818752,Blank
15634,"Aaron J. Bianco, MD",13214,43.044038,-76.0647832,Blank
52,"Aaron M. Nilhas, MD, FACS",67214,37.6960741,-97.2998764,General Surgery
17895,"Aaron Roberts, DO",37804,35.7554195,-83.9595011,Blank
19718,"Abbi Crook, CNM",68122,41.3217677,-96.0214886,Blank
19719,"Abbi Crook, CNM",68122,41.3217677,-96.0214886,Blank
19264,"Abbie Kelley, DO",17055,40.2106977,-76.9649758,Blank
16529,"Abbie Mincks, MD",46825,41.1735819,-85.1079326,Blank
17347,"Abbie Mincks, MD",46804,41.0405297,-85.2489565,Blank
19803,"Abby Halpern, DO",37312,35.2120019,-84.8634305,Blank
4009,ABC Surgery,91786,34.100294,-117.6902614,General Surgery
15142,"Abdi Raissi, MD",89121,36.1306624,-115.1123011,Blank
15265,"Abdul Qureshi, MD",88220,32.4425399,-104.2562882,Blank
15994,"Abhijit N Desai, MD",45211,39.1809609,-84.5966184,Blank
18629,"Abhijit N Desai, MD",45211,39.1809609,-84.5966184,Blank
18515,"Abhijit N Desai, MD",45030,39.2624951,-84.7907226,Blank
18524,"Abhijit N Desai, MD",45211,39.1809609,-84.5966184,Blank
18735,"Abhijit N Desai, MD",45211,39.1809609,-84.5966184,Blank
18788,"Abhijit N Desai, MD",45211,39.1809609,-84.5966184,Blank
17512,"Abhiram Duvvuri, MD",64507,39.7733247,-94.7695854,Blank
18409,"Abigail L. Holbrook, DO",45150,39.1842451,-84.266041,Blank
4887,Ability Health Services & Rehabilitation,32771-1013,28.8132525,-81.2812525,Therapy (Physical Occupational Speech)
4880,Ability Health Services & Rehabilitation,34711-1925,28.55454,-81.7228863,Therapy (Physical Occupational Speech)
4882,Ability Health Services & Rehabilitation,32746-1402,28.7543217,-81.3652372,Therapy (Physical Occupational Speech)
4883,Ability Health Services & Rehabilitation,32801-5202,28.5553953,-81.3789284,Therapy (Physical Occupational Speech)
4886,Ability Health Services & Rehabilitation,32819-4449,28.462366,-81.501921,Therapy (Physical Occupational Speech)
4891,Ability Health Services & Rehabilitation,32789-4050,28.6000385,-81.3284768,Therapy (Physical Occupational Speech)
4888,Ability Health Services & Rehabilitation,32822-1668,28.5166684,-81.3132038,Therapy (Physical Occupational Speech)
4878,Ability Health Services & Rehabilitation,32714-2058,28.680602,-81.3899074,Therapy (Physical Occupational Speech)
4879,Ability Health Services & Rehabilitation,32712-3654,28.6890844,-81.5090717,Therapy (Physical Occupational Speech)
4884,Ability Health Services & Rehabilitation,32765-7154,28.648982,-81.2451348,Therapy (Physical Occupational Speech)
4885,Ability Health Services & Rehabilitation,32119-3475,29.1532061,-80.9929966,Therapy (Physical Occupational Speech)
4889,Ability Health Services & Rehabilitation,32825-5001,28.547102,-81.217738,Therapy (Physical Occupational Speech)
4892,Ability Health Services & Rehabilitation,34787-3907,28.5549386,-81.5828025,Therapy (Physical Occupational Speech)
4896,Ability Health Services & Rehabilitation,32763-7945,28.9181231,-81.3002089,Therapy (Physical Occupational Speech)
4898,Ability Health Services & Rehabilitation,32168-7604,29.0091954,-80.9186567,Therapy (Physical Occupational Speech)
4897,Ability Health Services & Rehabilitation,32773-5925,28.7581348,-81.2879867,Therapy (Physical Occupational Speech)
4900,Ability Health Services & Rehabilitation,32953-3490,28.3600811,-80.6835477,Therapy (Physical Occupational Speech)
4899,Ability Health Services & Rehabilitation,32708-2744,28.7001101,-81.2662477,Therapy (Physical Occupational Speech)
4890,Ability Health Services & Rehabilitation,32818-6628,28.5533781,-81.5039303,Therapy (Physical Occupational Speech)
4894,Ability Health Services & Rehabilitation,32164-2503,29.5483679,-81.2346591,Therapy (Physical Occupational Speech)
4893,Ability Health Services & Rehabilitation,34741-5011,28.2991994,-81.4074214,Therapy (Physical Occupational Speech)
4881,Ability Health Services & Rehabilitation,32725-5836,28.905821,-81.2451716,Therapy (Physical Occupational Speech)
4895,Ability Health Services & Rehabilitation,32174-8204,29.2624841,-81.0951257,Therapy (Physical Occupational Speech)
21234,Acadiana MRI,70560,29.9900141,-91.7868716,Blank
4006,Accelerate Physical Therapy and Performance,67205,37.7575134,-97.4061151,Other
20759,Accelerated Open MRI & Imaging,60423,41.5153324,-87.8515953,Blank
21142,Access Sports Medicine - Dover,03820,43.2214057,-70.8886011,Blank
21143,Access Sports Medicine - Exeter,03833,42.9768672,-70.9174166,Blank
21144,Access Sports Medicine - Plaistow,03865,42.8183057,-71.1027949,Blank
21145,Access Sports Medicine - Portsmouth,03801,43.0625268,-70.7940186,Blank
21236,Access Sports Medicine - Raymond,03077,43.0369599,-71.1625596,Blank
16932,Accurate Medical Diagnostic Services,10314,40.5982691,-74.1619401,Blank
4916,Achieve Physical Therapy and Performance,75074,33.1677404,-96.7315284,Therapy (Physical Occupational Speech)
4909,Achieve Physical Therapy and Performance,75074-3478,33.030864,-96.6474084,Therapy (Physical Occupational Speech)
4910,Achieve Physical Therapy and Performance,75040-2779,32.9639848,-96.6412817,Therapy (Physical Occupational Speech)
4912,Achieve Physical Therapy and Performance,75094-4587,33.0123375,-96.6282665,Therapy (Physical Occupational Speech)
4914,Achieve Physical Therapy and Performance,75034-5684,33.1409786,-96.8028841,Therapy (Physical Occupational Speech)
4915,Achieve Physical Therapy and Performance,75078-8792,33.2377641,-96.7897666,Therapy (Physical Occupational Speech)
4911,Achieve Physical Therapy and Performance,75013,33.1157878,-96.6816377,Therapy (Physical Occupational Speech)
4913,Achieve Physical Therapy and Performance,75071-6966,33.2173232,-96.6958289,Therapy (Physical Occupational Speech)
4919,Action Physical Therapy,77459-4387,29.573521,-95.5712451,Therapy (Physical Occupational Speech)
715,Action Physical Therapy,67056,38.0042792,-97.5056257,Therapy (Physical Occupational Speech)
4918,Action Physical Therapy,77024-4060,29.7746653,-95.5582004,Therapy (Physical Occupational Speech)
4917,Action Physical Therapy,77025-1168,29.705002,-95.441749,Therapy (Physical Occupational Speech)
3912,Active Body Physiotherapy,30309,33.8121057,-84.389288,Therapy (Physical Occupational Speech)
606,"Adam Bowen, DDS",66502,39.1944455,-96.6068154,Dentistry
5082,"Adam Bruggeman, MD",78231,29.5997251,-98.5539914,Spinal Surgery
18069,"Adam Burzynski, MD",14226,42.9769415,-78.7888339,Blank
18183,"Adam C. Young, MD",60053,42.0445419,-87.8004479,Blank
19932,"Adam Ellis, MD",37166,35.9606156,-85.8299596,Blank
19933,"Adam Ellis, MD",37166,35.9606156,-85.8299596,Blank
19027,"Adam Fosnaugh, MD",28112,34.9746051,-80.5116477,Blank
5244,"Adam Golas, MD",33511,27.9350009,-82.2879344,Bariatrics
17420,"Adam Graver, MD",98506,47.0557525,-122.8447564,Blank
5106,"Adam Harder, MD",03079,42.7767556,-71.2478855,Orthopedics
19002,"Adam Holzmeister, MD",80301,40.0222129,-105.2421793,Blank
17710,"Adam J Schell, MD",68154,41.2660237,-96.1266307,Blank
18941,"Adam J Schell, MD",68122,41.3217225,-96.0212855,Blank
17625,"Adam J. Siwek, D.O.",85255,33.6436232,-111.8983699,Blank
28736,Adam M. Budny D.P.M.,16602,40.4842599,-78.3962207,Podiatry
28736,Adam M. Budny D.P.M.,16602,40.4842599,-78.3962207,Orthopedics
28737,Adam M. Budny D.P.M.,16801,40.7852174,-77.8230832,Podiatry
28737,Adam M. Budny D.P.M.,16801,40.7852174,-77.8230832,Orthopedics
230,"Adam Misasi, MD, FACS",67205,37.7563476,-97.4272574,General Surgery
18444,"Adam P Kouns, MD",45211,39.1812044,-84.5972771,Blank
5087,"Adam Purtell, MD",79410,33.5738971,-101.8930623,Bariatrics
19439,"Adam R McDonald, DPM",27215,36.0825196,-79.5163876,Blank
18507,"Adam Raskin, MD",45014,39.3131552,-84.5172325,Blank
18646,"Adam Raskin, MD",45255,39.0863612,-84.3500564,Blank
18685,"Adam Raskin, MD",45255,39.0863612,-84.3500564,Blank
18847,"Adam Raskin, MD",45103,39.0863544,-84.350047,Blank
18584,"Adam Raskin, MD",45150,39.1842451,-84.266041,Blank
18787,"Adam Raskin, MD",45255,39.0863612,-84.3500564,Blank
17565,"Adam T Griffith, MD",29201,34.0110616,-81.0246545,Blank
17889,"Adam T. Short, MD",37909,35.950947,-84.0208311,Blank
19498,"Adam Will, MD",46711,40.6580185,-84.970274,Blank
25335,"Adam Zanation, MD, MBA, FACS",28601,35.7464029,-81.3326112,Blank
15493,Adams Diagnostic Imaging,17325,39.8451813,-77.1861306,Blank
20546,Adams Memorial Hospital,46733,40.8168794,-84.9144267,Blank
23336,Adams Memorial Hospital,46733,40.8168794,-84.9144267,Blank
23340,Adams Memorial Hospital,46711,40.655853,-84.9674496,Blank
23341,Adams Memorial Hospital,46733,40.8168794,-84.9144267,Blank
26166,Adams Memorial Hospital,46733,40.8168794,-84.9144267,Blank
26527,Adams Memorial Hospital StatCare (Urgent Care),46733,40.8441545,-84.9384494,Blank
777,"Addison Gardner, LMFT",67501,38.0708821,-97.9012471,Behavioral Health
19546,"Adewale A Olalere, MD",27403,36.0735262,-79.8443502,Blank
20969,Adirondack Radiology Albany,12206,42.6860606,-73.8122516,Blank
24507,Adirondack Radiology North Country,12804,43.2960046,-73.6872376,Blank
20864,Adirondack Radiology Saratoga,12866,43.0859239,-73.8078236,Blank
17457,"Aditya Goud, MD",86442,35.1093672,-114.5548798,Blank
19011,"Aditya J Yerrapragada, MD",80023,40.0008533,-105.0009912,Blank
19680,"Aditya Sabharwal, DO",27215,36.0608941,-79.5012328,Blank
16623,"Adolfo Diaz, MD",78041,27.5327858,-99.4781211,Blank
25279,Adomo Health - Care in your Home,10016,40.7445677,-73.9875814,Blank
21146,ADR,21502,39.650988,-78.797787,Blank
16914,"Adrianna Darwish, DO",46825,41.1735819,-85.1079326,Blank
15582,"Adrianna Darwish, DO",46804,41.0405297,-85.2489565,Blank
16486,"Adrienne E. Perfilio, MD, FACOG",68132,41.265627,-95.9905545,Blank
4903,Advance Rehabilitation & Consulting,32034-1949,30.6434221,-81.4563746,Therapy (Physical Occupational Speech)
4902,Advance Rehabilitation & Consulting,32011-3863,30.5684082,-81.8266392,Therapy (Physical Occupational Speech)
4904,Advance Rehabilitation & Consulting,32097-0303,30.6282694,-81.5625134,Therapy (Physical Occupational Speech)
28063,Advanced Bone & Joint,63376,38.797273,-90.5924067,Blank
21237,Advanced Cardiac Imaging,90242,33.9163178,-118.1249816,Blank
26518,Advanced Center for Orthopedics and Sports Medicine,42301,37.7491762,-87.1159896,Blank
26517,Advanced Center for Orthopedics and Sports Medicine- Imaging,42301,37.7491762,-87.1159896,Blank
26516,Advanced Center for Orthopedics and Sports Medicine- Therapies,42301,37.7491762,-87.1159896,Blank
20760,Advanced Diagnostic Group,33434,26.3693937,-80.1853706,Blank
16935,Advanced Diagnostic Group - Baldwin Park,32807,28.5547141,-81.3101727,Blank
20821,Advanced Diagnostic Group - Brandon,33511,27.9335916,-82.2998219,Blank
20822,Advanced Diagnostic Group - Jacksonville,32216,30.2673368,-81.6173779,Blank
16933,Advanced Diagnostic Group - Kissimmee,34741,28.3004541,-81.4044384,Blank
16934,Advanced Diagnostic Group - Lakeland,33805,28.0809249,-81.9555898,Blank
20820,Advanced Diagnostic Group - Lutz,33549,28.1864941,-82.448338,Blank
16936,Advanced Diagnostic Group - Orlando - Silver Star,32818,28.5773033,-81.4690606,Blank
20823,Advanced Diagnostic Group - Palm Beach Gardens,33410,26.8313978,-80.1008099,Blank
20824,Advanced Diagnostic Group - Tampa - Waters,33614,28.0250499,-82.4934141,Blank
20819,Advanced Diagnostic Group - West Palm Beach,33411,26.6799792,-80.1690658,Blank
20825,Advanced Diagnostic Group-Psl,34952,27.3374415,-80.3263883,Blank
20826,Advanced Health Imaging,33155,25.7339788,-80.3031805,Blank
24872,Advanced Imaging Of Lafayette,70508,30.1785811,-92.0457597,Blank
16937,Advanced Magnetic Imaging,07093,40.7926886,-74.0131426,Blank
464,Advanced Medical Imaging,66049,38.9741115,-95.3077592,Imaging and Radiology
24873,Advanced Medical Imaging,46902,40.4627573,-86.160844,Blank
24874,Advanced Medical Imaging,66049,38.9741176,-95.3077654,Blank
28472,Advanced Medical Imaging Center,60181,41.8482124,-87.9859675,Blank
16938,Advanced Medical Imaging of NW CT - Kennedy Drive,06790,41.8271106,-73.104175,Blank
16939,Advanced Medical Imaging of NW CT - Outpatient MRI,06790,41.7920928,-73.1339052,Blank
20100,Advanced Orthopaedic Associates,67235,37.7257252,-97.5130806,Blank
20,Advanced Orthopaedic Associates,67226,37.7320086,-97.2227506,Orthopedics
4832,Advanced Orthopaedic Associates Now,67226,37.7320086,-97.2227506,Urgent Care
4832,Advanced Orthopaedic Associates Now,67226,37.7320086,-97.2227506,Orthopedics
27562,Advanced Orthopedic Associates - In Office Procedures,67226,37.7320086,-97.2227506,Blank
197,Advanced Physical Therapy Andover,67002,37.6948146,-97.1350664,Therapy (Physical Occupational Speech)
198,Advanced Physical Therapy Aquatic Rehab,67205,37.745768,-97.4253116,Therapy (Physical Occupational Speech)
199,Advanced Physical Therapy Arkansas City,67005,37.0899112,-97.0395226,Therapy (Physical Occupational Speech)
201,Advanced Physical Therapy College Hill,67208,37.6948146,-97.1350664,Therapy (Physical Occupational Speech)
202,Advanced Physical Therapy Derby Meadowlark,67037,37.5618797,-97.2617118,Therapy (Physical Occupational Speech)
203,Advanced Physical Therapy Derby Tanglewood,67037,37.5490312,-97.2474306,Therapy (Physical Occupational Speech)
194,Advanced Physical Therapy Downtown Wichita,67211,37.685905,-97.3167895,Therapy (Physical Occupational Speech)
204,Advanced Physical Therapy Haysville,67060,37.5678608,-97.3518967,Therapy (Physical Occupational Speech)
205,Advanced Physical Therapy Hutchinson,67502,38.08503,-97.9045648,Therapy (Physical Occupational Speech)
206,Advanced Physical Therapy Independence,67301,37.2235325,-95.7076288,Therapy (Physical Occupational Speech)
207,Advanced Physical Therapy Maize,67101,37.7655167,-97.462393,Therapy (Physical Occupational Speech)
208,Advanced Physical Therapy McPherson,67460,38.3802998,-97.6715129,Therapy (Physical Occupational Speech)
209,Advanced Physical Therapy Newton,67114,38.0134652,-97.3374991,Therapy (Physical Occupational Speech)
210,Advanced Physical Therapy Northeast Wichita,67206,37.7219376,-97.2532259,Therapy (Physical Occupational Speech)
211,Advanced Physical Therapy Northwest Wichita,67205,37.7508793,-97.4248491,Therapy (Physical Occupational Speech)
212,Advanced Physical Therapy Park City,67219,37.7953686,-97.3156268,Therapy (Physical Occupational Speech)
213,Advanced Physical Therapy South Wichita,67213,37.6535749,-97.3716614,Therapy (Physical Occupational Speech)
214,Advanced Physical Therapy Sterling,67579,38.2144324,-98.211024,Therapy (Physical Occupational Speech)
215,Advanced Physical Therapy Wellington,67152,37.2755132,-97.3928973,Therapy (Physical Occupational Speech)
218,Advanced Physical Therapy West Wichita,67212,37.6965645,-97.4373806,Therapy (Physical Occupational Speech)
219,Advanced Physical Therapy Winfield,67156,37.2297767,-96.9823221,Therapy (Physical Occupational Speech)
20838,Advanced Physicians Group Sc,60403,41.5919898,-88.1217495,Blank
24899,Advanced Radiology,65065,38.1133144,-92.6898832,Blank
24875,Advanced Radiology - Aiello Center,21061,39.137873,-76.6209328,Blank
24876,Advanced Radiology - Annapolis Imaging,21401,38.9864751,-76.5507305,Blank
23799,Advanced Radiology - Camden Yards,21201,39.2830069,-76.6202665,Blank
24877,Advanced Radiology - Carroll Ortho,21157,39.5500938,-76.9918974,Blank
24878,Advanced Radiology - Clinical Associates,21136,39.451317,-76.8202822,Blank
24879,Advanced Radiology - Crain Towers,21061,39.1443144,-76.6326522,Blank
24880,Advanced Radiology - Crossroads Imaging,21042,39.2424975,-76.8371526,Blank
24881,Advanced Radiology - Fisher,21157,39.5603793,-76.9898813,Blank
24882,Advanced Radiology - Glen Burnie,21061,39.1386217,-76.6200347,Blank
24883,Advanced Radiology - Lutherville,21093,39.4173156,-76.6133813,Blank
24886,Advanced Radiology - Maiden Choice,21228,39.2676546,-76.7053137,Blank
24887,Advanced Radiology - Owings Mills,21117,39.3979234,-76.7516352,Blank
24888,Advanced Radiology - Pomona Square,21208,39.3805304,-76.7308604,Blank
24889,Advanced Radiology - Quarry Lake,21209,39.3845175,-76.6915219,Blank
24890,Advanced Radiology - Seven Square Imaging,21237,39.3482437,-76.4736086,Blank
21242,Advanced Radiology - Shipley's Choice,21108,39.0937174,-76.6224507,Blank
21243,Advanced Radiology - Sjmc/cancer Institute,21204,39.3866014,-76.611937,Blank
21244,Advanced Radiology - St Joseph Imaging Center,21204,39.3884876,-76.6082046,Blank
